SYLLABUS,GRADE,Cohort Names,,,
CBSE,Standard IV,4th Grade Marketing,4,Grade 4,Grade 4-CBSE
CBSE,Standard V,5th Grade Marketing,5,Grade 5,Grade 5-CBSE
CBSE,Standard VI,6th Grade Marketing,6,Grade 6,Grade 6-CBSE
CBSE,Standard VII,7th Grade Marketing,7,Grade 7,Grade 7-CBSE
CBSE,Standard VIII,8th Grade Marketing,8,Grade 8,Grade 8-CBSE
CBSE,Standard IX,9th Grade Marketing,9,Grade 9,Grade 9-CBSE
CBSE,Standard X,10th Grade Marketing,10,Grade 10,Grade 10-CBSE
