CBSE BOARD,,,
Select Grade,Search Key,Percentage Match Required,
10th CBSE,"Motion, Force and Work",15%,
Topic Name,Raw Topic ID,Video ID,Percentage Matched
Matter - Its Nature and Behaviour,123,224,25.00%
"Motion, Force and Work",125,226,100.00%
Matter - Its Nature and Behaviour,02-5-00,224,25.00%
"Motion, Force and Work",04-5-00,226,100.00%
